Yacimiento,Coordenada X,Coordenada Y
Necrópolis tumular de Campo del Arca,"226386,488","4814105,98"
Minería Antigua en Arquillina,"233128,28","4822746,07"
Túmulo de Llano de Arquillina,"233990,171","4822182,34"
Minería Antigua en Los Baos,"235047,99","4821554,32"
Túmulo de Sierra de Baos,"235719,341","4821129,73"
Minería Antigua de El Entrego,"228504,384","4824684,96"
Túmulo de El Pocín,"231403,262","4824550,65"
Minería Antigua de Carcabas de Gallinero,"228683,491","4825775,29"
Minería antigua de Gamotoxa,"230896,676","4821703,8"
Necrópolis tumular Alto de la Capilla de San Juan en Lentepeña,"233903,684","4820985,1"
Túmulo de El Cerezal,"234495,657","4821544,07"
Minería antigua en Lendepeña,"232479,193","4822090,93"
Necrópolis tumular Alto de la Cuova,"230964,711","4819868,51"
Minería Antigua de Las Murias,"231779,108","4820035,35"
Túmulo de Penoucos,"231785,765","4819433,11"
Necrópolis tumular Peñadrada,"231349,395","4819640,14"
Necrópolis tumular La Trochona,"232719,738","4819867,12"
Túmulo de Zonzapera,"231007,667","4820116,14"
Necrópolis tumular de Peña Derecha,"226070,461","4813201,01"
Necrópolis tumular de La Cobertoria,"223005,886","4811039,9"
Túmulo de Güeyo Furao,"225561,599","4811708,14"
Necrópolis tumular de Peña de Las Muelas,"225292,124","4811100,7"
Necrópolis tumular de La Llana,"222347,205","4811990,13"
Necrópolis tumular de Las Penonas,"222393,739","4812287,69"
Minería Antigua de Reguera Brusca,"222871,074","4811952,35"
Túmulo de Campo de En medio,"226126,741","4814676,37"
Minería antigua de Cabanín,"216796,092","4823675,52"
Minería antigua de Bachoncho,"215142,32","4823694,72"
Minería antigua en Carlangas,"217525,917","4822669,84"
Minería antigua de Folguerón,"214700,697","4819663,92"
Galería de Barceda,"212145,537","4822481,76"
Castro de El Castiecho de Telares,"211837,135","4822378,65"
Minería antigua de Telares,"214943,375","4807383,13"
Minería antigua de Les Foces,"227695,948","4827376,24"
Minería antigua de La Carcabona,"228369,139","4826976,51"
Torre de Villademoros,"225748,582","4827632,41"
Minería antigua de Ambasvias,"218759,433","4823082,26"
Conjunto lítico Cabo Busto,"219588,413","4829692,85"
Castro de La Cogocha en Canero,"221029,22","4826729,89"
Minería antigua en Canero,"220551,936","4827065,32"
Conjunto lítico de Caroyas,"218760,594","4824486,5"
Minería antigua de El Forcón,"217933,44","4824145,04"
Posible megalito Peña del Salto,"225916,282","4821486,9"
Minería antigua de La Trapa,"224619,134","4821580,61"
Minería antigua de Carcedo,"224311,477","4820098,3"
Minería Romana de Muñás de Abajo,"223496,463","4819229,36"
El Castro de Oure,"222851,475","4819326,09"
Minería antigua de Las Gruebas,"222882,82","4818370,94"
Túmulo de Pico Andoligo,"227312,267","4817900,67"
Necrópolis tumular de Alto Cumares,"229909,332","4819142,37"
Necrópolis tumular de Chano de la Cobertoria,"229153,274","4818394,6"
Túmulo de Los Chanos,"228395,416","4817621,87"
Túmulo de Penas de la Faxa,"227755,866","4817793,42"
Túmulo de Rumiego,"228705,091","4819480,08"
Minería Antigua de Pilagarzón,"227652,727","4815669,53"
Túmulo del Rellón,"228345,002","4816923,43"
Castro de Peña Castiel en Chano de Luarca,"213855,812","4828101,23"
Minería Antigua de Gachera de Buseco,"208483,377","4818307,12"
Castro de El Castiecho de Cerezal,"209025,33","4823033,23"
Minería antigua de Engrueba,"211598,458","4822546,37"
Túmulo de Monte Rondo,"211251,544","4823298,74"
Minería antigua de Segredal,"205564,419","4818868,99"
Minería antigua de Riopinoso y Paladeperre,"209231,88","4818253,08"
Minería antigua en Las Cavadas,"211973,306","4822569,44"
Túmulo de Alto del Segredal,"245689,444","4786217,98"
Túmulo de La Moriecha,"204799,141","4817996,23"
Necrópolis tumular de Penedo El Rayo,"204349,491","4817326,41"
Minería antigua de Gachera de Valleancho,"206678,685","4816932,56"
Minería antigua de La Veiguetona,"228159,497","4821299,77"
Minería antigua de Riforco,"227985,857","4820284,26"
Minería antigua en Río Caliente,"226910,623","4819283,71"
Minería antigua de Veneiros,"224565,79","4819453,04"
Túmulo del collado de Buxtrilde,"208075,962","4825860,68"
Necrópolis tumular de Las Grandas,"210667,736","4826325,4"
Galería minera de Llameirón,"207948,506","4826873,11"
Túmulo del Pico de Pena Antigua,"207760,337","4827739,46"
Túmulo de La Carballosa,"207887,819","4828808,71"
Túmulo de La Minona,"208071,181","4828569,72"
Túmulo de Sangulento,"208240,997","4827102,77"
Minería Antigua de Engrueba,"216494,321","4816023,49"
Necrópolis tumular de Pandiecho,"220695,254","4814466,48"
Ruinas de El Castiecho de Castiello de Paredes,"216839,99","4815948,39"
Minería antigua de Cárcabas de Busguís y Caborno,"213052,482","4817676,31"
Minería antigua de Leiriella,"211776,742","4818069,36"
Minería antigua Longrey,"216794,211","4816704,02"
Castro de El Cerco de los Moros de la Llamiella,"218344,34","4818723,71"
Minería antigua en Carcabonas,"219426,34","4819122,05"
Minería antigua de Freizaredo,"218435,392","4818942,83"
Minería antigua de Reguera Brava,"218735,571","4819974,4"
Minería antigua de Arroyo Rocamín,"221248,688","4815880,98"
Estela de Rellón de Merás,"219184,075","4819239,85"
Minería antigua de Malecón,"217807,043","4817533,71"
Galería de La Pachera,"218804,675","4817110,61"
Necrópolis tumular de La Bouzona,"213407,925","4825374,94"
Túmulo de Alto de La Cogolla,"212747,265","4823867,79"
Túmulo de La Garita,"212623,992","4825632,24"
Minería antigua de Saliente,"212796,584","4823162,02"
Pico Asturiense Ería de la Rasa,"212839,828","4827923,91"
Galería de Mina el Pouxo,"213102,248","4824268,48"
Túmulo de La Cruz de Cristo,"211155,902","4826139,63"
Minería antigua de La Chanona,"221536,808","4819872,4"
Minería antigua de La Veigona,"222670,465","4820292,05"
Minería antigua de Corbazos,"222409,992","4824323,05"
Minería antigua de Huertas,"222578,623","4823533,5"
Túmulo del Pico de Estadas Nuevas,"226917,55","4825627,14"
Necrópolis tumular de Estadas Nuevas,"226005,114","4825492,5"
Minería antigua en Las Cárcuas,"222058,455","4821539,92"
Castro de La Porida en Llendecastiecho,"221997,021","4824854,42"
Minería antigua en Trevías,"222493,63",4822010
Lápida de La Capilla de Santiago de Ovienes,"216389,128","4815955,85"
Explotación minera del Pedroso,"221426,502","4819178,23"
Túmulo del Llano de la Paja,"235322,504","4826809,69"
Túmulo de Arbedeo,"226949,287","4825649,92"